f_id,nbhd,host,cap,inst,pwr
F03570,Mott Haven,the bakery,"1,192",20200605,Generator
F01154,mott haven,green grocer,304,20190126,GRID
F00062,mott haven,Corner Deli,"1,539",20220516,GRID
F02408,Bed-Stuy,The Bakery,"1,660",20200820,Grid
F03216,Crown Heights,green grocer,"1,897",20211127,Generator
F03957,jackson hts,mutual aid nyc,"1,262",20220808,GRID
F04301,Flatbush,corner deli,"1,334",20191106,Generator
F04609,Bushwick,Community Garden,"1,191",20190216,solar
F04053,harlem,st. marks church,416,20190411,generator
F01164,bushwick,St. Marks Church,898,20191024,Solar
F00879,bed-stuy,corner deli,"1,548",20191223,GRID
F03624,harlem,corner deli,"1,153",20210321,SOLAR
F04620,bed-stuy,community garden,"1,519",20181020,SOLAR
F04338, Bushwick ,Corner Deli,740,20190517,solar
F00196,Flatbush,community garden,"1,972",20190707,GRID
F01843,bushwick,st. marks church,73,20181027,Grid
F01695, Bushwick , CORNER DELI ,"1,717",20210403,SOLAR
F00172,Jackson Heights,Mutual Aid NYC,"1,269",20240612,Generator
F00456,Crown Heights,Mutual Aid NYC,"1,523",20221215,GRID
F02726,Jackson Heights,the bakery,400,20241022,generator
F03505,Flatbush,Community Garden,49,20180308,generator
F00953,Bed-Stuy,Community Garden,"1,525",20211025,Generator
F03024,jackson hts,Mutual Aid NYC,"1,861",20211010,Solar
F04655,bushwick,st. marks church,"1,235",20220706,SOLAR
F02421,Sunset Park,St. Marks Church,"1,511",20181108,GRID
F00362,Sunset Park, CORNER DELI ,"1,987",20240515,solar
F02711,flatbush ,corner deli,278,20230811,solar
F01626,ridgewood,The Bakery,"1,506",20190413,Grid
F01981,mott haven,green grocer,"1,889",20240211,grid
F04863,harlem,Community Garden,183,20210613,Grid
F02765, Bushwick ,Green Grocer,795,20241011,SOLAR
F03766,flatbush ,Mutual Aid NYC,"1,313",20210305,Grid
F03964,crown hts,Community Garden,"1,089",20200504,solar
F00266,Sunset Park,mutual aid nyc,"1,812",20210124,Solar
F00469,Bed-Stuy,,"1,844",20200713,solar
F01093,Ridgewood,community garden,"1,073",20240124,Solar
F04460,jackson hts, CORNER DELI ,"1,346",20210715,SOLAR
F00220,Sunset Park,st. marks church,977,20200920,grid
F02582,Mott Haven,Mutual Aid NYC,"1,919",20180812,SOLAR
F04450,sunset park,Bodega Grande,"1,717",20221009,solar
F02015,jackson hts,Green Grocer,280,20180223,grid
F01767,Bedford-Stuyvesant,st. marks church,407,20220812,GRID
F01651,Sunset Park,green grocer,755,20191126,grid
F01934,ridgewood,Corner Deli,"1,797",20210406,GRID
F01331,Sunset Park,st. marks church,945,20200101,generator
F00771, Bushwick ,Bodega Grande,469,20220111,solar
F00365,Crown Heights,Mutual Aid NYC,,20210926,GRID
F02902,jackson hts, CORNER DELI ,755,20190904,generator
F00190,Ridgewood,green grocer,199,20240804,grid
F02206,flatbush ,Green Grocer,203,20190228,Generator
F04694,flatbush ,mutual aid nyc,"1,606",20211208,GRID
F00323,jackson hts,bodega grande,"1,510",20200803,Grid
F04122,Ridgewood,st. marks church,700,20180409,grid
F02327,Bed-Stuy,corner deli,"1,440",20191221,grid
F02139,sunset park,st. marks church,98,20180805,GRID
F00367,harlem,St. Marks Church,558,20180510,generator
F03400,Flatbush,St. Marks Church,594,20181011,GRID
F00159,jackson hts,,"1,288",20230217,GRID
F00869,Harlem,corner deli,"1,449",20181114,generator
F01071,Mott Haven,Corner Deli,"1,642",20210411,Solar
F03553,Sunset Park,Mutual Aid NYC,966,20200623,solar
F04239,Harlem, CORNER DELI ,208,20200626,GRID
F04361,mott haven,Community Garden,960,20181009,Generator
F01565,Ridgewood,the bakery,"1,563",20191223,generator
F04879,sunset park,Mutual Aid NYC,146,17760118,generator
F03594,sunset park,,,20180828,GRID
F00572,sunset park,Mutual Aid NYC,940,20200801,generator
F02974,ridgewood,community garden,235,20181113,Generator
F01540,flatbush ,Corner Deli,"1,904",20231021,grid
F03189,Harlem,Green Grocer,"1,390",20201125,Grid
F04123,Sunset Park,community garden,678,20210812,Grid
F02879,ridgewood,mutual aid nyc,"1,314",20230711,Generator
F00356,flatbush ,the bakery,45,20210603,Grid
F03395,Harlem,St. Marks Church,"1,760",20200711,SOLAR
F01839,flatbush ,corner deli,"1,572",20201116,solar
F02913,Mott Haven,the bakery,"1,370",20200502,Grid
F03040,bed-stuy,corner deli,639,20190422,generator
F03572,crown hts, CORNER DELI ,"1,691",20241227,SOLAR
F00100,Crown Heights,Mutual Aid NYC,"1,449",20191013,Generator
F02926,Bushwick,Community Garden,"1,219",20240612,Grid
F01840,bushwick,bodega grande,958,20210604,generator
F00924,jackson hts,st. marks church,700,20221103,Solar
F00671,jackson hts, CORNER DELI ,469,20181009,generator
F02378,Ridgewood,green grocer,895,20201204,grid
F02210,sunset park,Bodega Grande,614,20200914,solar
F02088,Bushwick,the bakery,371,20200302,Solar
F04600,Harlem,Corner Deli,"1,641",20220314,Grid
F04299,bushwick, CORNER DELI ,712,20190220,generator
F02766,Sunset Park,mutual aid nyc,286,20240907,Solar
F03732,flatbush ,,"1,553",20200914,GRID
F01335,Bushwick,community garden,"1,702",20241128,GRID
F01593,Bed-Stuy,The Bakery,,20220525,Solar
F02594,jackson hts,the bakery,973,20180112,SOLAR
F04302,Sunset Park, CORNER DELI ,40,20180626,solar
F04095,Bushwick,green grocer,"1,080",20211110,Grid
F01737,Crown Heights,st. marks church,"1,061",20190907,solar
F01230,harlem,The Bakery,416,20240725,Grid
F03846,Jackson Heights,Bodega Grande,"1,644",20210712,Grid
F00770,flatbush , CORNER DELI ,,20200421,Generator
F04845,Ridgewood,St. Marks Church,"1,452",20241222,generator
F02628,jackson hts,Community Garden,182,20210608,GRID
F03020,Flatbush,st. marks church,"1,417",20201003,Solar
F00486,Bedford-Stuyvesant,Community Garden,"1,348",20220407,generator
F00747,mott haven,Mutual Aid NYC,"1,146",20201119,SOLAR
F04224,Harlem,the bakery,"1,412",20201106,SOLAR
F01334,Bedford-Stuyvesant,Community Garden,"1,713",20191008,generator
F03149,Bushwick,st. marks church,165,20180917,generator
F01578,crown hts,Bodega Grande,"1,611",20220124,grid
F01095,Bed-Stuy,green grocer,"1,421",20220607,Grid
F04334,Bushwick,Corner Deli,49,20220726,Solar
F01008,ridgewood,green grocer,"1,902",20240601,generator
F01267,Jackson Heights,Corner Deli,"1,958",20190306,grid
F04339,mott haven, CORNER DELI ,492,20231010,GRID
F02253,ridgewood,the bakery,"1,031",20200811,GRID
F00064,Jackson Heights,Community Garden,382,20180818,SOLAR
F01918,crown hts,corner deli,"1,433",20220322,grid
F03191,Mott Haven,corner deli,"1,856",20190418,generator
F03154,Ridgewood,St. Marks Church,61,20240818,Grid
F03525,Crown Heights,St. Marks Church,,20210202,Generator
F04758,ridgewood,Bodega Grande,"1,337",20210728,Grid
F01344,flatbush ,mutual aid nyc,"1,558",20220925,SOLAR
F00598,ridgewood,Mutual Aid NYC,480,20230506,grid
F02357,crown hts,mutual aid nyc,"1,732",20181025,SOLAR
F04880,Mott Haven,The Bakery,167,20201226,Generator
F02542,jackson hts, CORNER DELI ,"1,791",20220919,GRID
F03530,Bushwick,community garden,999999,20220407,Grid
F00517,Flatbush,Bodega Grande,"1,247",20200205,Solar
F01531,Harlem,st. marks church,646,20191001,solar
F01704,jackson hts,corner deli,487,17760210,grid
F04191,Ridgewood,Bodega Grande,324,20191206,Grid
F01683, Bushwick , CORNER DELI ,810,20200401,Solar
F04059,Jackson Heights,Corner Deli,"1,872",20210516,GRID
F02191,ridgewood,Corner Deli,-30,20180712,GRID
F01145,sunset park,Corner Deli,"1,338",20240512,Solar
F01855,bed-stuy,mutual aid nyc,"1,597",20180822,Grid
F00058,Bushwick,St. Marks Church,870,20190227,SOLAR
F00038,Sunset Park,Corner Deli,"1,681",20220215,generator
F03915,mott haven,corner deli,"1,634",20180326,Solar
F02755,harlem,,368,20190419,grid
F04485, Bushwick , CORNER DELI ,"1,489",20240704,generator
F02422,Flatbush,,"1,728",20231220,GRID
F02866,Crown Heights,st. marks church,693,20180709,Grid
F01850,Harlem, CORNER DELI ,"1,174",20230717,generator
F02399,Crown Heights,The Bakery,"1,240",20240517,GRID
F00860,Ridgewood,Mutual Aid NYC,"1,525",20230519,SOLAR
F02491,Bushwick,green grocer,"1,019",20181012,generator
F03990,sunset park,community garden,"1,388",20211016,Generator
F01152,bushwick,green grocer,844,20240221,grid
F00295,bed-stuy,bodega grande,224,20201028,SOLAR
F02805,bed-stuy,green grocer,"1,538",20180808,solar
F04154,Crown Heights, CORNER DELI ,948,20230508,SOLAR
F01691,mott haven,corner deli,52,20180901,Generator
F04785,Harlem,community garden,650,20220323,solar
F04556,harlem,Corner Deli,893,20240317,Generator
F02247,Ridgewood,the bakery,"1,601",20211010,Grid
F00989,harlem,bodega grande,856,20210617,Grid
F01413,Ridgewood,community garden,"1,971",20231020,solar
F01530,crown hts,bodega grande,"1,813",20200913,Solar
F00471,bushwick,St. Marks Church,"1,383",20210923,SOLAR
F03407,Ridgewood,st. marks church,639,20190108,solar
F01322,Crown Heights,St. Marks Church,561,20220115,generator
F02988,Jackson Heights,the bakery,58,20240228,Solar
F02543,Jackson Heights,st. marks church,"1,819",20230604,Solar
F04099,harlem,bodega grande,680,20201223,grid
F04724,flatbush ,St. Marks Church,"1,779",20221010,grid
F02362,Bedford-Stuyvesant,corner deli,"1,241",20190218,GRID
F00305,Bushwick,mutual aid nyc,134,20240310,Grid
F02145,Bedford-Stuyvesant,st. marks church,303,20231128,Generator
F01989,Bed-Stuy,st. marks church,"1,551",20220706,Generator
F01521,Mott Haven,St. Marks Church,"1,300",20220522,Generator
F02304,jackson hts,st. marks church,"1,611",20220118,Generator
F03596,sunset park, CORNER DELI ,"1,952",20190516,solar
F00230,Bed-Stuy,Mutual Aid NYC,"1,824",20220414,GRID
F04741,Bushwick,green grocer,"1,346",20200815,solar
F03358,bushwick,Community Garden,284,20190423,grid
F00505,mott haven,Green Grocer,691,20220319,Generator
F02217,Jackson Heights,,"1,311",20201007,solar
F04740,Sunset Park,st. marks church,519,20180310,SOLAR
F04816,crown hts,bodega grande,999999,20191017,Grid
F03067,Bedford-Stuyvesant,the bakery,376,20231221,Grid
F04702,Crown Heights,St. Marks Church,"1,587",20220903,GRID
F02949,Bed-Stuy,green grocer,"1,216",20190503,solar
F02659,Sunset Park,,823,20241117,GRID
F02111,Sunset Park,mutual aid nyc,"1,220",20221207,GRID
F02603,Sunset Park,green grocer,540,20200304,grid
F02520,bushwick,mutual aid nyc,562,20240516,Generator
F02926,Bushwick,Community Garden,"1,219",20240612,Grid
F03753,Flatbush,Mutual Aid NYC,"1,295",20190824,GRID
F02058,jackson hts,Corner Deli,323,20191005,SOLAR
F00582,ridgewood,green grocer,413,20200426,Grid
F03001,Sunset Park,st. marks church,"1,900",20230428,GRID
F00477,ridgewood,Mutual Aid NYC,"1,389",20180819,grid
F04830, Bushwick ,Green Grocer,"1,342",20230104,Grid
F00100,Crown Heights,Mutual Aid NYC,"1,449",20191013,Generator
F04084,Jackson Heights,green grocer,"1,007",20220620,SOLAR
F04514,Harlem,Bodega Grande,394,20200214,solar
F02282,Flatbush,the bakery,503,20230822,Grid
F01847,sunset park,bodega grande,355,20220823,Generator
F00678,Sunset Park, CORNER DELI ,"1,383",20181002,generator
F00841,bushwick,corner deli,"1,519",20200307,grid
F04896, Bushwick ,Corner Deli,737,20220815,GRID
F01036,crown hts,green grocer,"1,432",20230704,SOLAR
F00213,flatbush ,Bodega Grande,"1,222",20190527,solar
F03036,Mott Haven,Mutual Aid NYC,"1,029",20201017,Generator
F03664,bed-stuy,community garden,818,20210717,SOLAR
F00939,Bedford-Stuyvesant,green grocer,"1,653",20210424,solar
F02021, Bushwick ,Community Garden,830,20221119,GRID
F03750,Ridgewood,corner deli,827,20180323,Solar
F01110, Bushwick ,mutual aid nyc,"1,899",20240815,Generator
F04469,Bed-Stuy,corner deli,100,20190107,grid
F02189,crown hts,Mutual Aid NYC,"1,358",20230820,Grid
F02037,Bedford-Stuyvesant,Green Grocer,"1,393",20190310,Generator
F04345,jackson hts,community garden,"1,931",20221017,Generator
F04580,harlem,the bakery,"1,661",20190203,Solar
F02251,Ridgewood,St. Marks Church,"1,590",20220817,grid
F04279,Sunset Park,community garden,397,20190719,Solar
F02618,Mott Haven,Mutual Aid NYC,155,20230919,generator
F00706,Jackson Heights, CORNER DELI ,880,20220222,grid
F02957,sunset park,bodega grande,"1,047",20240106,Grid
F00302,jackson hts,community garden,928,20201109,solar
F02579,ridgewood,mutual aid nyc,387,20180915,Solar
F03104,harlem,Bodega Grande,"1,989",20201124,grid
F04368,crown hts,,"1,100",20190816,solar
F00627,Bushwick, CORNER DELI ,631,20180104,generator
F04428,bushwick,,,20180925,solar
F04829,Jackson Heights,Green Grocer,370,20240709,GRID
F02174, Bushwick ,community garden,"1,157",20181211,solar
F01172,harlem,community garden,464,20190618,Solar
F00416,Flatbush,mutual aid nyc,566,20180520,GRID
F01465,bed-stuy,Mutual Aid NYC,731,20181023,GRID
F03241,Jackson Heights,Corner Deli,"1,137",20190802,grid
F03729,sunset park,Community Garden,238,20210410,grid
F03895,Bed-Stuy,bodega grande,124,20211216,GRID
F01952,flatbush ,,"1,937",20210511,grid
F01745,Bed-Stuy,Mutual Aid NYC,86,20181217,SOLAR
F00563,mott haven,bodega grande,318,20240610,GRID
F00780,Ridgewood,community garden,273,20190210,generator
F02248,Bedford-Stuyvesant,mutual aid nyc,"1,063",20240527,grid
F00703,Jackson Heights,Bodega Grande,"1,599",20180327,grid
F02450,Bushwick, CORNER DELI ,522,20200725,generator
F01371,flatbush ,the bakery,696,20231221,solar
F00842,Jackson Heights,St. Marks Church,54,20190805,Grid
F02226,Bushwick,green grocer,64,20200215,SOLAR
F04826,Sunset Park,st. marks church,"1,459",20240204,Generator
F01633,bushwick, CORNER DELI ,"1,634",20200616,Solar
F04292,Flatbush,Corner Deli,647,20220718,SOLAR
F00690,Jackson Heights,Green Grocer,"1,436",20200623,solar
F02597,Ridgewood,Corner Deli,"1,548",20240710,Grid
F01077,bed-stuy,Corner Deli,388,20230220,grid
F00263,bushwick,Corner Deli,223,20241212,generator
F00672,bushwick,Green Grocer,930,20180819,generator
F00265,Jackson Heights,bodega grande,"1,686",20200911,generator
F00199,ridgewood,Corner Deli,"1,101",20200803,Generator
F03065,harlem,,"1,382",20220520,SOLAR
F03320, Bushwick ,Community Garden,820,20191006,solar
F02319,Jackson Heights,mutual aid nyc,"1,932",20210228,SOLAR
F02375,mott haven,Mutual Aid NYC,"1,554",20180201,Solar
F00407, Bushwick ,corner deli,"1,601",20210401,grid
F00391,sunset park,corner deli,646,20181201,solar
F02834, Bushwick ,Bodega Grande,"1,784",20180217,generator
F04868,sunset park,bodega grande,961,20240801,GRID
F03426,ridgewood,Community Garden,83,20240101,SOLAR
F03217, Bushwick ,The Bakery,"1,234",20220708,Solar
F01282,crown hts,green grocer,"1,940",20201024,Generator
F02969,harlem,Community Garden,886,20210712,Grid
F00026,mott haven,community garden,"1,829",20201011,generator
F02965,Bushwick,,435,20181221,grid
F03200,Flatbush,St. Marks Church,770,20221112,generator
F02462, Bushwick ,community garden,493,20211017,Generator
F01719,sunset park,St. Marks Church,"1,218",20180818,generator
F03531,crown hts,Community Garden,898,20191011,Grid
F00537, Bushwick ,the bakery,300,20181202,Grid
F01764,flatbush ,The Bakery,"1,513",20221227,SOLAR
F04243,Sunset Park,mutual aid nyc,204,20241027,solar
F03481,Bed-Stuy,Community Garden,"1,735",20220821,SOLAR
F00275,sunset park,corner deli,"1,549",20201012,SOLAR
F04076,mott haven,st. marks church,-30,20180812,grid
F03923,Flatbush,St. Marks Church,457,20241224,GRID
F00348,Harlem, CORNER DELI ,776,20180810,Grid
F03322,Flatbush,bodega grande,"1,311",20241203,solar
F04857,ridgewood,mutual aid nyc,219,20211117,generator
F02845,mott haven,St. Marks Church,201,20240525,Generator
F04335,Flatbush,community garden,"1,771",20201206,grid
F03521, Bushwick ,St. Marks Church,"1,760",20241112,SOLAR
F02855,Bushwick,corner deli,"1,310",20180802,grid
F03226,Bushwick,,201,20190207,generator
F04591,Ridgewood,Mutual Aid NYC,"1,445",20241119,solar
F00553,crown hts,Corner Deli,224,20180712,Grid
F00117,Bushwick,corner deli,130,20180125,solar
F03635,mott haven,Bodega Grande,889,20190926,solar
F03274,Bedford-Stuyvesant,mutual aid nyc,"1,930",20200720,Generator
F04185,bushwick,St. Marks Church,925,20230403,Solar
F02100,Sunset Park,Green Grocer,"1,149",20211112,Grid
F00206,flatbush ,Mutual Aid NYC,"1,568",20241214,grid
F03893,Bushwick,The Bakery,463,20180124,Grid
F03294,mott haven,Corner Deli,"1,951",20191206,Solar
F03253,Bed-Stuy,st. marks church,213,20231110,SOLAR
F00422,mott haven,St. Marks Church,"1,235",20180312,GRID
F04169,bushwick,bodega grande,822,20191115,Grid
F00232,Flatbush,Green Grocer,334,20201104,Grid
F00837,flatbush ,Community Garden,"1,086",20230818,Grid
F00464,ridgewood,the bakery,"1,716",20240725,SOLAR
F04818,bed-stuy,the bakery,824,20181210,SOLAR
F02998,Crown Heights,Bodega Grande,760,20240921,grid
