f_id,log_dt,temp,items,clean,restk
F00082,2024-02-23,45,52,Clean,n
F00294,2020-12-04,42,37,Clean,y
F01559,2025-10-02,39,26,clean,Yes
F04022,2024-12-16,41,17,Clean,NO
F04359,2020-07-22,45,0,Clean,y
F03773,2022-03-13,34,14,OK,no
F01005,2024-11-23,43,49,OK,n
F09006,2020-09-11,,24,CLEAN,No
F01569,2020-03-11,40,36,needs cleaning,no
F01518,2025-09-11,34,50,Dirty ,yes
F01163,2020-09-14,44,0,needs cleaning,NO
F03636,2021-05-27,35,2,CLEAN,n
F09858,2025-04-04,36,,CLEAN,NO
F03940,2025-10-04,36,27,needs cleaning,YES
F03975,2022-07-11,38,22,OK,NO
F01555,2025-03-07,41,4,dirty,YES
F03068,2023-04-12,37,36,Dirty ,No
F01908,2024-10-16,38,46,OK,NO
F03784,2021-01-03,33,29,Dirty ,No
F02674,2025-10-17,43,33,CLEAN,NO
F01509,2025-06-21,33,24,,n
F02991,2022-03-12,44,3,needs cleaning,y
F00547,2024-09-15,38,15,OK,n
F04483,2020-02-15,35,25,Clean,Yes
F02394,2021-05-09,43,15,Dirty ,no
F02531,2021-11-10,36,15, ok,YES
F00085,2020-10-27,39,99999,,No
F01759,2023-08-13,33,45,needs cleaning,Yes
F00240,2023-04-12,40,12,Clean,Yes
F00334,2023-08-13,42,30,CLEAN,NO
F03448,2025-12-24,38,49,dirty,Yes
F01602,2021-07-09,34,45,dirty,Yes
F09385,2020-05-02,44,,CLEAN,yes
F03585,2023-10-28,35,22,dirty,YES
F01154,2021-03-04,35,43,Clean,YES
F03584,2023-03-11,37,29,dirty,n
F04232,2025-11-21,35,20,CLEAN,No
F04618,2020-03-19,40,0,clean,no
F03697,2020-02-09,41,2,OK,NO
F09122,2020-02-17,41,1,CLEAN,YES
F02060,2024-07-03,41,39, ok,y
F03925,2020-02-26,41,4,CLEAN,y
F01448,2024-08-25,34,35, ok,n
F01917,2023-02-02,37,59,Clean,no
F03423,2021-09-22,40,27,CLEAN,No
F04447,2023-01-13,41,42,needs cleaning,no
F02902,2025-11-11,45,24, ok,NO
F03887,2020-10-08,40,17,needs cleaning,No
F03565,2021-02-26,34,24,Clean,y
F02332,2020-07-28,-50,30, ok,YES
F00239,2021-11-09,44,6,Dirty ,YES
F00907,2023-07-20,39,26,Clean,yes
F01812,2024-04-06,35,6,needs cleaning,No
F00048,2021-09-01,-50,57,clean,yes
F02793,2022-05-08,37,11,Clean,NO
F01787,2024-02-19,38,0,Dirty ,n
F00461,2020-05-05,38,38,Clean,n
F01336,2023-08-01,33,-5,clean,No
F02966,2021-11-12,45,49,Dirty ,NO
F04537,2021-02-03,40,58,OK,No
F01517,2020-02-23,38,0,Clean,YES
F03451,2024-02-28,44,31,dirty,NO
F04635,2021-10-02,39,,clean,yes
F02439,2020-11-03,33,4, ok,no
F03833,2024-03-22,42,,Clean,YES
F00133,2020-12-16,39,15,needs cleaning,Yes
F03948,2025-02-27,39,43,needs cleaning,Yes
F01364,2022-04-24,42,52,needs cleaning,no
F03258,2021-10-25,37,12,OK,yes
F02230,2021-10-24,40,28,Dirty ,yes
F04097,2024-02-24,35,44,OK,y
F04055,2021-10-09,37,45,clean,y
F00338,2021-07-13,34,31,clean,NO
F00567,2024-04-05,38,21,,y
F03776,2023-03-03,38,16,Dirty ,y
F01301,2024-08-11,38,5,needs cleaning,Yes
F04898,2021-06-07,40,53,dirty,y
F04277,2023-10-21,41,45,,YES
F03794,2025-08-16,34,17,,Yes
F01139,2021-07-18,44,2,CLEAN,no
F01332,2024-12-28,35,0,Clean,YES
F00364,2022-04-02,38,54,clean,YES
F01453,2022-10-15,43,11,needs cleaning,yes
F02537,2024-04-06,44,3,dirty,Yes
F04396,2024-03-08,43,18,Clean,NO
F04877,2022-04-20,38,27,clean,NO
F03655,2024-03-13,41,60,,yes
F00003,2021-10-24,34,2,clean,YES
F04134,2021-08-24,40,10,dirty,YES
F00057,2020-01-04,41,59,OK,n
F04716,2023-07-16,44,,OK,yes
F04406,2020-02-28,33,36,Dirty ,n
F02923,2023-08-07,38,10,CLEAN,no
F02161,2024-10-24,43,21,clean,yes
F00352,2023-03-01,41,57,needs cleaning,NO
F03743,2021-08-10,33,18,clean,Yes
F04174,2023-08-12,41,,clean,YES
F03193,2020-03-18,43,60,Dirty ,YES
F01786,2024-02-06,34,2, ok,No
F01946,2023-08-06,37,20,needs cleaning,y
F03460,2025-11-05,36,37,Clean,No
F01456,2023-09-06,38,-5,Dirty ,NO
F01158,2024-10-26,44,11,OK,no
F04386,2023-09-04,45,27,OK,Yes
F03783,2025-10-26,44,-5,dirty,Yes
F04392,2023-09-03,40,13,OK,YES
F01696,2023-01-12,36,38, ok,NO
F04028,2020-06-05,41,29,Dirty ,YES
F04489,2023-12-16,39,39,OK,n
F03317,2023-08-26,36,2,clean,n
F04380,2021-03-08,36,8,Dirty ,n
F04495,2024-06-28,36,23,needs cleaning,YES
F00401,2024-05-12,33,26,needs cleaning,NO
F00729,2024-02-09,40,3,,Yes
F01459,2025-03-26,41,2,Clean,y
F04862,2025-01-20,37,12,clean,n
F01721,2021-08-22,38,11,needs cleaning,YES
F00134,2024-11-02,38,45,CLEAN,No
F02624,2021-04-11,39,51,Clean,No
F01337,2025-07-07,33,25,Clean,No
F00554,2025-03-15,37,15,Clean,y
F01437,2024-02-19,36,22,OK,n
F01406,2021-09-10,35,42,OK,Yes
F03397,2021-03-28,40,11,dirty,Yes
F00534,2021-04-07,43,30, ok,y
F03188,2022-12-20,34,23, ok,n
F00735,2024-08-07,42,52,clean,Yes
F00480,2023-03-13,43,0,dirty,n
F03561,2023-01-15,43,48,dirty,Yes
F02063,2024-04-28,33,56,CLEAN,No
F04699,2022-03-28,43,10,dirty,n
F02943,2021-07-28,36,59,CLEAN,Yes
F00475,2020-06-08,40,45,CLEAN,yes
F03481,2020-10-26,40,16, ok,y
F01123,2024-05-10,43,26,,yes
F02219,2024-10-09,40,41,dirty,no
F04544,2020-07-17,41,31,clean,yes
F01458,2022-10-05,33,5,dirty,YES
F01019,2023-04-17,42,33,dirty,Yes
F01092,2021-10-14,39,23,dirty,No
F01236,2023-09-08,38,27,Clean,YES
F02152,2025-03-10,36,18,CLEAN,Yes
F03033,2020-10-16,35,,clean,no
F03072,2020-10-04,38,50,dirty,yes
F01391,2020-10-04,40,, ok,NO
F00918,2025-01-23,36,44,Clean,yes
F09595,2020-05-06,43,9,clean,no
F02657,2021-04-24,42,0, ok,YES
F01207,2023-07-28,44,58,Dirty ,n
F00127,2023-04-23,33,15,Dirty ,y
F09599,2020-03-05,35,37,,yes
F03582,2022-01-20,45,57,CLEAN,no
F00341,2024-08-14,36,29,OK,No
F02120,2025-06-04,40,45,needs cleaning,no
F04775,2025-08-08,36,4,dirty,n
F00024,2024-02-17,34,38,CLEAN,NO
F01305,2022-03-12,45,21,CLEAN,no
F00561,2025-11-14,44,39,Dirty ,n
F01044,2021-09-27,36,9,clean,yes
F00449,2020-09-23,37,15,dirty,NO
F01627,2023-02-07,34,54,dirty,YES
F00502,2022-09-11,38,46,dirty,NO
F00594,2020-05-18,33,17,CLEAN,No
F02761,2023-10-11,43,25, ok,n
F00628,2024-06-22,40,26,CLEAN,n
F00119,2022-09-19,40,33,clean,Yes
F04294,2025-02-07,45,18,needs cleaning,Yes
F03058,2020-12-26,45,99999,dirty,YES
F00393,2022-01-10,43,25,Dirty ,No
F01979,2022-11-20,33,-5,needs cleaning,y
F04124,2020-07-01,36,40, ok,YES
F01197,2022-02-14,33,47, ok,Yes
F03874,2022-05-28,43,12,Dirty ,no
F04472,2023-06-06,42,27,Dirty ,no
F01600,2020-01-16,37,22,Dirty ,YES
F03049,2020-10-21,42,17,Dirty ,y
F01853,2023-04-03,44,40,needs cleaning,No
F04171,2020-04-12,43,6,clean,no
F03298,2020-10-23,36,20,needs cleaning,n
F02570,2022-09-02,42,25,dirty,n
F03886,2020-09-12,36,47,Dirty ,Yes
F00791,2022-12-04,44,3,OK,n
F03037,2021-05-19,37,54,Clean,No
F00186,2022-11-07,40,37,Dirty ,No
F02939,2023-10-01,40,14,Clean,Yes
F01015,2020-08-01,41,43,needs cleaning,no
F04067,2022-04-13,43,23,dirty,NO
F03710,2022-06-18,42,57,Dirty ,n
F00130,2020-12-17,35,33,OK,Yes
F01864,2024-05-16,35,,needs cleaning,NO
F01610,2021-08-06,34,21,Dirty ,Yes
F00796,2020-09-05,44,46,dirty,n
F03334,2025-01-05,43,32,CLEAN,No
F04065,2023-09-13,43,29,needs cleaning,No
F03183,2024-03-14,37,1,Dirty ,yes
F01396,2021-07-18,44,19,dirty,No
F04272,2023-11-14,34,44,Dirty ,y
F00392,2025-12-26,44,44,clean,YES
F04082,2021-08-20,33,43,Clean,NO
F01407,2023-08-24,45,55,Clean,no
F01360,2025-09-17,33,20,,yes
F02371,2020-09-10,43,29,OK,yes
F02202,2025-09-16,33,18,clean,Yes
F02356,2023-05-13,35,38, ok,no
F00873,2020-08-09,35,2, ok,Yes
F01220,2025-11-26,40,56, ok,Yes
F00650,2021-01-09,43,17,needs cleaning,y
F00625,2021-10-28,40,10,needs cleaning,no
F04799,2025-01-20,36,9,,n
F03121,2022-10-15,44,29,dirty,n
F03061,2025-09-20,39,49,CLEAN,no
F02903,2020-07-02,36,,,NO
F03893,2020-10-23,34,39,Clean,YES
F01241,2021-10-09,35,28,OK,n
F04415,2023-09-25,40,59,needs cleaning,no
F01910,2020-07-20,34,24,Clean,y
F04191,2020-05-28,39,38,Dirty ,NO
F03826,2025-04-10,33,58,OK,y
F03606,2022-01-21,39,30,OK,n
F03132,2024-07-09,43,14,dirty,NO
F02078,2021-03-12,37,,needs cleaning,Yes
F02043,2021-05-07,45,25,needs cleaning,n
F04248,2020-05-11,36,7,CLEAN,yes
F04214,2020-12-18,38,44,CLEAN,NO
F04499,2022-12-01,37,37,Dirty ,Yes
F01374,2025-10-20,34,40,CLEAN,No
F04599,2022-12-02,42,3,Dirty ,NO
F03772,2022-11-27,37,44, ok,NO
F01346,2023-09-20,33,11,dirty,NO
F01316,2025-12-08,36,43,Clean,yes
F01307,2022-02-14,45,2,CLEAN,y
F00058,2024-08-02,41,38,OK,no
F04390,2023-04-20,40,38,,n
F02738,2020-05-25,40,6,Clean,no
F02418,2025-11-01,37,57,Dirty ,n
F04251,2025-05-25,38,3,clean,No
F04083,2020-09-08,39,50, ok,no
F04766,2021-08-27,44,60, ok,No
F03675,2021-05-10,35,21,Clean,YES
F04176,2025-03-03,34,24,Dirty ,no
F01788,2022-06-27,37,24, ok,no
F00390,2020-09-20,33,52,dirty,n
F01179,2023-06-23,37,22,clean,y
F03850,2025-11-12,43,35,dirty,Yes
F00268,2020-03-06,44,26,needs cleaning,y
F00850,2022-02-28,45,1,OK,NO
F03287,2021-11-28,42,22,Clean,no
F00009,2024-10-10,37,51,Dirty ,y
F03371,2025-10-02,42,48,Dirty ,yes
F01130,2025-04-18,43,29,CLEAN,no
F03342,2024-10-14,42,54,Clean,No
F02391,2022-08-12,-50,0,Clean,n
F02971,2025-01-01,45,56,needs cleaning,No
F04531,2025-06-24,38,47,dirty,no
F00526,2024-06-04,40,34,OK,NO
F00151,2023-01-27,42,44,,No
F00849,2022-11-19,40,30,clean,YES
F04113,2024-01-18,45,11,needs cleaning,NO
F03508,2020-03-15,36,49,needs cleaning,n
F00388,2025-11-26,39,35,needs cleaning,yes
F03262,2025-12-06,40,42,needs cleaning,no
F02362,2023-06-24,33,2,OK,y
F04173,2020-07-03,36,42,Dirty ,n
F00612,2022-10-23,40,16,clean,No
F02411,2020-02-17,39,21,dirty,YES
F01604,2024-11-14,39,28,CLEAN,y
F03523,2021-09-04,40,11,Clean,Yes
F01581,2020-10-19,38,55,OK,no
F00074,2024-04-19,33,40,Clean,YES
F04183,2020-05-09,43,44,clean,NO
F01772,2025-08-14,37,27, ok,NO
F01898,2025-12-18,40,29,clean,n
F00137,2023-03-06,39,13,Clean,y
F04103,2022-12-12,37,22,Dirty ,no
F01717,2021-10-08,39,26,OK,n
F02253,2021-04-08,43,48, ok,n
F02351,2025-02-28,33,24,needs cleaning,y
F00734,2021-08-14,41,13,needs cleaning,NO
F00208,2020-08-12,33,34,clean,YES
F04460,2025-03-21,37,31,Dirty ,n
F04066,2023-08-09,39,49,dirty,No
F02250,2022-02-15,35,11,Clean,No
F00680,2024-05-27,40,45, ok,y
F03306,2023-08-12,41,41,Clean,Yes
F00432,2022-11-12,37,17,Clean,n
F01394,2025-04-24,42,6, ok,yes
F03680,2025-03-01,34,40,,no
F00533,2020-02-25,38,39,CLEAN,No
F01499,2020-12-05,45,16,,YES
F01631,2022-03-06,45,16, ok,yes
F01819,2025-01-03,39,35,dirty,no
F04700,2021-04-11,37,,CLEAN,Yes
F04839,2025-05-03,,59,needs cleaning,no
F03883,2020-11-20,43,3,needs cleaning,Yes
F04846,2024-11-05,39,28,,yes
F04870,2021-10-08,45,20,Dirty ,Yes
F04321,2020-04-03,34,58,dirty,y
F01328,2021-06-11,39,14,Dirty ,y
F03817,2022-11-02,33,38, ok,n
F02080,2025-01-11,39,39,Clean,No
F04689,2025-11-28,45,7,needs cleaning,Yes
F03892,2020-12-21,45,10,needs cleaning,YES
F04407,2020-11-14,43,7,Dirty ,n
F01090,2021-06-12,41,33,CLEAN,YES
F04598,2021-01-21,36,22,OK,yes
F04341,2021-12-13,,59,needs cleaning,y
F00949,2025-06-28,34,42, ok,y
F02091,2024-02-25,37,27,OK,no
F00156,2021-06-08,43,10,CLEAN,NO
F02780,2024-11-09,33,37,dirty,No
F03065,2023-07-05,45,18,Dirty ,n
F04080,2020-08-02,34,3,CLEAN,no
F04043,2020-07-19,42,4,needs cleaning,No
F02005,2020-01-24,39,49,CLEAN,yes
F03728,2024-01-08,42,30,dirty,Yes
F03457,2022-01-20,36,52,clean,n
F04394,2024-04-11,37,9,dirty,yes
F02227,2025-04-04,35,16,Dirty ,y
F01822,2020-11-01,36,52,,no
F04784,2023-08-07,35,58,OK,NO
F02155,2025-09-04,38,42,needs cleaning,yes
F00847,2025-08-27,45,25,needs cleaning,No
F00876,2025-07-11,38,57,Dirty ,no
F01801,2024-09-15,,21, ok,NO
F00712,2023-06-04,41,17,Dirty ,Yes
F01710,2022-06-04,38,14,CLEAN,YES
F00759,2020-01-06,39,36, ok,YES
F02416,2021-08-21,41,55,Clean,Yes
F04088,2025-10-13,39,44,CLEAN,YES
F02511,2023-11-07,38,30,clean,No
F01663,2022-10-15,33,19, ok,NO
F03963,2021-07-14,45,46,clean,yes
F02884,2021-11-15,38,44,CLEAN,yes
F00376,2024-03-16,33,51,OK,no
F00056,2022-03-10,39,42,CLEAN,no
F03079,2022-12-13,41,2,CLEAN,Yes
F02686,2023-01-16,35,48,OK,YES
F02977,2020-02-16,41,19, ok,No
F00468,2024-11-21,36,40,OK,y
F02190,2023-08-13,42,25,needs cleaning,YES
F00823,2023-09-14,44,49,Dirty ,YES
F02486,2023-01-22,35,18,needs cleaning,y
F02231,2021-06-15,43,57, ok,no
F00493,2024-08-08,43,39, ok,n
F01737,2021-07-25,35,38, ok,No
F00883,2020-01-06,38,30,,y
F01310,2024-12-10,37,26, ok,NO
F03038,2020-11-05,37,26, ok,y
F00976,2023-07-22,39,18,OK,n
F01209,2024-08-18,37,45,clean,n
F02456,2020-10-18,39,31,dirty,n
F00957,2024-05-19,37,42,CLEAN,YES
F01116,2022-03-15,38,22,Dirty ,y
F02622,2023-09-14,36,11,needs cleaning,no
F01450,2021-05-23,39,17, ok,y
F00398,2022-01-04,34,18,clean,n
F04792,2024-04-06,35,52,Clean,No
F00890,2020-03-16,33,51, ok,YES
F00726,2023-08-20,40,24,Clean,yes
F00216,2021-03-07,41,12,needs cleaning,n
F02444,2022-05-24,37,29,Dirty ,Yes
F00266,2022-07-03,39,38,Dirty ,No
F00314,2024-11-06,34,-5, ok,y
F04739,2022-04-24,37,55,dirty,no
F02584,2024-09-06,37,99999, ok,NO
F01044,2021-09-27,36,9,clean,yes
F02839,2025-05-08,41,60,Clean,Yes
F04322,2025-04-08,42,46,OK,YES
F01754,2025-02-02,44,28,CLEAN,y
F01825,2022-12-22,38,60,Dirty ,yes
F03759,2024-07-18,43,25,Clean,y
F01215,2024-04-13,44,58,CLEAN,yes
F00457,2025-12-16,41,55,Dirty ,No
F02097,2022-12-27,39,99999,clean,y
F02688,2023-06-28,35,23,Dirty ,n
F01404,2020-09-12,43,22,OK,YES
F01168,2020-05-02,38,8,clean,No
F00995,2022-02-03,45,35,needs cleaning,n
F01585,2022-12-16,39,21,CLEAN,Yes
F00522,2025-04-12,35,4,OK,YES
F04090,2025-01-27,43,,clean,yes
F02554,2023-04-16,,47,clean,No
F02697,2023-04-17,39,57,Clean,yes
F00866,2024-07-05,43,35,CLEAN,YES
F00842,2020-09-12,41,22, ok,y
F01650,2022-11-14,34,27,CLEAN,no
F01500,2023-01-28,37,19,OK,yes
F02106,2020-06-19,42,18,OK,n
F00160,2024-10-25,41,35,CLEAN,no
F01632,2022-06-22,,16,needs cleaning,Yes
F01875,2020-11-18,37,42,dirty,yes
F00499,2025-08-04,34,45,clean,y
F00843,2020-10-07,43,11,needs cleaning,NO
F03642,2020-07-04,41,31,dirty,y
F00416,2023-07-03,35,7,Clean,No
F04485,2022-01-03,42,46,Clean,y
F04202,2022-11-12,,8,CLEAN,Yes
F00308,2025-03-22,,21,clean,No
F04735,2022-05-16,43,18,clean,No
F02881,2021-07-11,35,,dirty,yes
F09279,2025-06-24,33,5,Dirty ,y
F04448,2025-01-03,43,48,Dirty ,no
F01671,2024-12-10,43,6,Clean,yes
F03955,2022-07-12,45,42, ok,no
F04092,2025-02-07,36,9,needs cleaning,yes
F03247,2020-07-21,44,,OK,YES
F02303,2022-07-01,,16,clean,y
F04716,2023-07-16,44,,OK,yes
F02437,2025-01-26,35,18,needs cleaning,yes
F01641,2023-12-15,43,26,OK,no
F00086,2021-03-12,44,2,dirty,No
F04053,2020-11-21,42,1,dirty,NO
F01017,2022-08-01,38,34,Clean,No
F02004,2020-06-22,35,18,CLEAN,No
F02516,2020-04-16,42,54, ok,y
F01308,2023-08-13,36,6,dirty,YES
F00720,2023-07-16,37,46,CLEAN,Yes
F04220,2025-03-21,40,17,Clean,No
F01294,2024-03-11,35,32,clean,n
F04132,2025-10-06,37,45,dirty,yes
F04763,2023-09-16,34,99999,clean,No
F04882,2020-05-11,,28,dirty,y
F09055,2022-01-22,39,21, ok,y
F03321,2022-05-08,34,39, ok,Yes
F02352,2020-01-04,37,57,OK,No
F02045,2025-01-21,39,3,OK,n
F04475,2022-09-05,33,29,Clean,NO
F01166,2021-06-21,45,5,Dirty ,No
F01494,2025-08-27,37,31,OK,YES
F00753,2021-09-08,42,14,OK,y
F03235,2021-11-22,43,53,clean,yes
F09857,2023-11-19,36,5, ok,No
F02495,2022-09-07,38,7,needs cleaning,No
F00037,2021-04-08,40,50,needs cleaning,no
F01097,2023-05-05,36,39,Clean,n
F03396,2023-11-11,44,,Dirty ,yes
F00217,2023-06-10,,20,Dirty ,YES
F04072,2025-06-07,43,24,CLEAN,yes
F02734,2025-09-24,37,6,Dirty ,no
F01114,2020-11-16,35,51,Dirty ,No
F02988,2021-02-06,43,40,,NO
F04166,2020-02-08,36,52,,NO
F03616,2022-10-20,41,28,Clean,YES
F03042,2020-08-02,33,55,OK,No
F00126,2025-10-08,34,24,Dirty ,Yes
F03549,2022-08-23,37,16,needs cleaning,no
F01970,2023-10-24,34,26,OK,no
F03512,2022-02-02,41,59,clean,n
F00414,2020-09-27,37,50,,n
F01280,2023-05-19,38,40,CLEAN,Yes
F03381,2023-01-28,40,8, ok,n
F03536,2025-02-06,33,24,Clean,n
F04779,2024-12-11,41,4,dirty,No
F02102,2025-01-06,39,8,clean,Yes
F03993,2023-01-01,41,20,OK,NO
F01664,2024-03-02,37,11,clean,y
F03489,2024-04-16,39,56,Dirty ,n
F04670,2023-04-06,35,34,clean,yes
F00319,2024-09-11,45,9,OK,n
F03360,2021-01-02,35,57,clean,No
