m_id,nbhd,artst,med,sz,yr,dt
M03780,BUSHWICK,faith47,Wheatpaste,"7,976",2018,20181122
M02180,BUSHWICK,COST,spray paint,"5,431",2011,20110917
M03745,bushwick,futura,mosaic,"3,837",2016,20160118
M02929,harlem, BANKSY ,Wheatpaste,"1,067",2013,20130827
M01569,harlem,,Aerosol,420,2005,20050914
M03400,lower east side,Futura,Spray Paint,"6,536",2016,20160519
M00182,bushwick,banksy,aerosol,"2,011",2008,20081123
M04181,BUSHWICK,Shepard Fairey,mosaic,,,20190819
M01492,soho,KAWS,acrylic,"4,450",2012,20121220
M03538,Astoria,Futura,spraypaint,"6,796",2005,20050810
M01773,the bronx,KAWS,Aerosol,"1,691",2009,20090409
M00315,SoHo,cost,acrylic,"5,133",2007,20070213
M04376,Harlem,Faith47,mosaic,"4,463",2023,20230802
M00698,Lower East Side,Shepard Fairey,Spray Paint,"3,242",2011,20110707
M00521,Chelsea,Lady Pink,wheatpaste,"6,268",2014,20141120
M04716,Astoria,KAWS,Wheatpaste,"1,694",2015,20150618
M01542, Bushwick ,banksy,Spray Paint,"6,551",2005,20050618
M00964,LIC,KAWS,aerosol,"1,833",2006,20061006
M03807,williamsburg,jane q. public,Aerosol,"6,150",2014,20140509
M03581, Bushwick ,KAWS,acrylic,"4,620",2019,20191128
M03767,Lower East Side,,Aerosol,"1,596",2009,20090417
M00607,astoria,Banksy,Spray Paint,"5,615",2016,20160605
M02982,Harlem,lady pink,spraypaint,"4,413",2023,20230106
M03991,chelsea ,lady pink,aerosol,"4,000",2018,20180426
M04895,Williamsburg,Banksy,Aerosol,"5,497",2019,20191114
M04598,astoria,KAWS,Aerosol,"1,212",2013,20131225
M01461,LES,KAWS,Acrylic,"3,321",2011,20110312
M03317, Bushwick ,cost,Aerosol,"1,892",2009,20090916
M03201,williamsburg,Futura,acrylic,-50,2023,20230814
M02337,BUSHWICK,faith47,spraypaint,"4,559",2013,20131016
M04888,harlem,faith47,Wheatpaste,"7,055",2008,20080404
M04162, Bushwick ,Jane Q. Public,mosaic,"3,064",2011,20110424
M04665,Chelsea,jane q. public,Wheatpaste,"7,731",2099,20180617
M02644,Harlem, BANKSY ,aerosol,"6,592",2012,20120616
M02192,Lower East Side,Faith47,spray paint,"3,509",2023,20231221
M02170,lower east side,Faith47,Wheatpaste,321,2009,20090103
M01459,astoria,faith47,spray paint,"5,530",2008,20081204
M04815, Bushwick ,lady pink,spraypaint,"4,821",2007,20070913
M03758,harlem,futura,spraypaint,"5,946",2023,20230322
M02505,Chelsea,Shepard Fairey,Spray Paint,999999,2012,20121105
M04353,Williamsburg, BANKSY ,mosaic,"3,640",2015,20150310
M03629,Bronx, BANKSY ,Spray Paint,"7,303",2019,20191113
M02103,astoria,futura,mosaic,"6,002",2015,20150825
M02741,BUSHWICK, BANKSY ,Acrylic,"3,557",2007,20070702
M04269,Harlem,lady pink,Mosaic,428,2008,20080906
M00441,Long Island City,Banksy,wheatpaste,"6,771",2013,20130306
M00891,Bushwick,,Wheatpaste,375,2023,20230114
M04218,chelsea , BANKSY ,Mosaic,"5,217",2012,20120519
M02498, Bushwick ,lady pink,Mosaic,493,2023,20230712
M00666,chelsea ,os gemeos,Aerosol,"6,092",2023,20231203
M04858,SoHo,kaws,aerosol,"2,189",2017,20170621
M04198,bushwick,Faith47,Acrylic,"7,573",2019,20190425
M00375,LES,futura,Mosaic,"1,937",2006,20060303
M04294,Williamsburg,Banksy,spraypaint,"6,482",2019,20190104
M03085,Chelsea,futura,spray paint,"7,880",2015,20151110
M01404,Chelsea,banksy,Wheatpaste,"1,300",2009,20090824
M00854,SoHo,os gemeos,Aerosol,"5,269",2008,20080204
M01490,Chelsea,cost,acrylic,"6,208",2006,20061201
M01296,LES,,Wheatpaste,559,2015,20150907
M04205,astoria,COST,Spray Paint,"5,014",2011,20110306
M01699,LIC,jane q. public,Acrylic,"5,022",2014,20140527
M02564,Chelsea,Lady Pink,Spray Paint,"2,572",2016,20160704
M04025,Lower East Side,Faith47,Acrylic,"5,293",2010,20100414
M03355,astoria,jane q. public,Acrylic,"5,864",2006,20060502
M03618,Lower East Side,os gemeos,mosaic,"5,073",2021,20210621
M01041,Williamsburg,Faith47,spraypaint,"2,425",2010,20101215
M02585,SoHo,KAWS,Wheatpaste,"5,657",,20171003
M01541,BUSHWICK,os gemeos,Mosaic,"6,731",2010,20100403
M04337,LES,,acrylic,"3,983",2015,20150302
M01648,Harlem,COST,spray paint,"5,739",2017,20170918
M02561,Long Island City,Os Gemeos,Aerosol,"1,642",2012,20120626
M04341,BUSHWICK,COST,Mosaic,"1,042",2010,20100727
M00320,SoHo,Futura,mosaic,"6,993",2020,20200811
M00420,Long Island City,Jane Q. Public,mosaic,"7,687",2015,20150614
M00448,chelsea ,Lady Pink,acrylic,"6,419",2022,20220801
M01691,Bronx,Banksy,Mosaic,"6,006",2021,20211223
M03993,bushwick,Lady Pink,mosaic,438,2006,20061120
M03529,Lower East Side,lady pink,aerosol,"6,041",,20201114
M03074,harlem,KAWS,Spray Paint,"7,705",2011,20110802
M00141,Williamsburg,lady pink,Spray Paint,"6,388",2019,20191216
M02670,lower east side,jane q. public,aerosol,"7,470",2009,20091225
M04674,Lower East Side,,spray paint,"5,514",2009,20090919
M01671,williamsburg,faith47,spraypaint,"4,936",,20180816
M03445,harlem,lady pink,aerosol,677,2016,20160110
M04140,Astoria,Lady Pink,acrylic,"1,218",2021,20210609
M00911,SoHo,lady pink,aerosol,"2,670",2019,20191018
M04380,lower east side,banksy,aerosol,431,2005,20051115
M01136,soho,Faith47,Acrylic,"2,721",2013,20131213
M01627,Chelsea,cost,acrylic,"1,266",2011,20110720
M03988,astoria,Banksy,Spray Paint,"2,079",2017,20171106
M03379,Bushwick,faith47,wheatpaste,"1,849",2010,20100102
M01521,chelsea ,shepard fairey,spray paint,"3,250",2010,20100317
M04130,lower east side,,mosaic,"6,855",2019,20190513
M03173,LES,shepard fairey,Spray Paint,"2,812",2016,20160717
M00819, Bushwick ,Banksy,Aerosol,"7,812",2018,20181123
M03643,Long Island City,,mosaic,"2,733",2014,20140924
M03184,Williamsburg,lady pink,mosaic,"2,567",2010,20101213
M02764,Harlem,os gemeos,Mosaic,"2,763",2020,20200628
M03687, Bushwick ,futura,Wheatpaste,"1,498",2014,20140814
M00351,williamsburg,,Mosaic,"3,731",2014,20141012
M00707,Lower East Side,jane q. public,Mosaic,"1,390",2021,20211123
M03836,chelsea ,Futura,wheatpaste,"3,190",,20190420
M03911,LES,Shepard Fairey,Mosaic,"6,406",2022,20220928
M00435,harlem,Banksy,spray paint,"7,140",2007,20070818
M00086,SoHo,shepard fairey,Acrylic,"2,457",2018,20180912
M03611,Astoria,Banksy,Mosaic,"5,237",2006,20061117
M03493,LES,faith47,aerosol,"3,040",2005,20050101
M03004,LES,jane q. public,Wheatpaste,741,2021,20210322
M01995,SoHo, BANKSY ,aerosol,,2022,20220524
M01893,astoria,os gemeos,Spray Paint,"5,263",2005,20051005
M02898,Long Island City,COST,Mosaic,"7,646",2015,20150908
M00830,SoHo,Lady Pink,Spray Paint,"2,575",2007,20070310
M01773,the bronx,KAWS,Aerosol,"1,691",2009,20090409
M00136,soho,Lady Pink,Acrylic,"7,611",2013,20130214
M03473,LIC,,Aerosol,191,2008,20080919
M04511,Lower East Side,jane q. public,acrylic,"6,284",2011,20110712
M00277,soho,KAWS,Aerosol,"1,326",2015,20151218
M03133,Bronx,banksy,spraypaint,"5,996",2099,20180525
M00826,Bushwick,shepard fairey,spraypaint,"1,101",2008,20080904
M04659,Long Island City,Jane Q. Public,Wheatpaste,"6,620",2017,20170713
M04189, Bushwick ,Futura,Aerosol,"7,066",2023,20231219
M02913,williamsburg,Lady Pink,Mosaic,"2,494",2017,20170710
M03697,Harlem,shepard fairey,acrylic,"6,177",2018,20181112
M00518,harlem,Os Gemeos,mosaic,"3,683",2015,20150608
M02524, Bushwick ,Jane Q. Public,Spray Paint,"1,829",2018,20181115
M04289,SoHo,,wheatpaste,"2,727",2005,20050405
M04508, Bushwick ,Faith47,wheatpaste,"2,519",2005,20050107
M04690,Bushwick,Banksy,Aerosol,"4,491",2009,20091227
M00149,lower east side,Shepard Fairey,aerosol,"5,103",2020,20201110
M04233,LIC,futura,Spray Paint,,2010,20100406
M00174,Bronx,Jane Q. Public,Acrylic,"1,835",2020,20201012
M01528,soho,,aerosol,793,2017,20170223
M01156,chelsea ,Banksy,acrylic,"4,841",2016,20160315
M03627,Lower East Side,Lady Pink,spraypaint,"4,061",2099,20181111
M01554,lower east side,jane q. public,Acrylic,"5,496",,20080204
M01685,bushwick,faith47,Wheatpaste,"1,361",2011,20110201
M03876,Williamsburg,shepard fairey,Spray Paint,"3,133",2020,20200311
M03105,Bushwick,faith47,mosaic,"3,257",2014,20140908
M04393,Harlem,,Aerosol,"5,722",2015,20150524
M01785,LES,banksy,Acrylic,"3,699",2014,20140705
M01137,bushwick,os gemeos,Acrylic,"1,018",2011,20110807
M02587,chelsea ,Jane Q. Public,Acrylic,"5,975",2020,20200408
M01360,Lower East Side,shepard fairey,acrylic,"5,277",2014,20140413
M01321,Lower East Side,,aerosol,"3,332",2023,20230820
M03878,Astoria,faith47,Spray Paint,"1,531",2009,20090717
M04204,Harlem,os gemeos,Mosaic,"3,758",2015,20150604
M02789,Harlem,Shepard Fairey,spraypaint,"4,589",2022,20220314
M03946,Lower East Side,Lady Pink,wheatpaste,"4,840",2023,20230608
M01950,lower east side,Banksy,aerosol,"6,100",2005,20050915
M04336,Bronx,KAWS,Wheatpaste,715,2005,20050914
M02872,Astoria,shepard fairey,spray paint,394,2011,20110611
M02740,lower east side,Futura,spray paint,"7,799",2018,20181202
M03333,lower east side,Shepard Fairey,spray paint,"6,363",2016,20160515
M04601,astoria,os gemeos,wheatpaste,999999,2013,20130807
M00326,Williamsburg,kaws,Acrylic,,2023,20230822
M00132,Williamsburg,,mosaic,-50,2007,20071104
M04308,Harlem,shepard fairey,wheatpaste,"6,718",2019,20190315
M02119,Astoria,jane q. public,acrylic,"2,462",2016,20160203
M01292,Harlem,Lady Pink,Mosaic,"1,103",2013,20130514
M03707,bushwick,Shepard Fairey,Spray Paint,"6,025",2014,20140623
M00998,LES,kaws,mosaic,"1,490",2013,20130812
M01502,BUSHWICK,faith47,wheatpaste,"3,742",2020,20200705
M01468,chelsea ,lady pink,acrylic,"3,275",2021,20211103
M00299, Bushwick ,Lady Pink,Aerosol,"6,469",2016,20161118
M02739,lower east side,KAWS,spray paint,"4,103",2022,20220809
M03939,Bushwick,jane q. public,mosaic,-50,2013,20130104
M01932,Harlem,jane q. public,spray paint,"4,822",2007,20070407
M04469,LIC,lady pink,Acrylic,"1,540",2021,20210820
M02550,the bronx,COST,spraypaint,"7,054",2011,20110917
M03898,SoHo,Jane Q. Public,Spray Paint,"7,496",2016,20160319
M04494,SoHo,futura,wheatpaste,"2,757",2014,20140404
M04668,Bronx, BANKSY ,wheatpaste,"5,651",,20070510
M01658,BUSHWICK,kaws,spray paint,"2,258",2009,20090803
M04787,astoria,jane q. public,spray paint,885,2008,20080421
M03902,bushwick,Lady Pink,spray paint,"7,505",2017,20170116
M03822,lower east side,faith47,acrylic,"5,082",2009,20090526
M01910,williamsburg,os gemeos,Aerosol,"4,009",2007,20070526
M04767,williamsburg,lady pink,acrylic,,2009,20090227
M04066,Chelsea,Lady Pink,Aerosol,"6,520",2012,20120724
M01732,Long Island City,Banksy,spray paint,"2,053",2020,20200619
M04326,Bushwick,COST,Aerosol,"4,593",2022,20220511
M04134,SoHo,Lady Pink,spraypaint,"6,516",2017,20171116
M02216,chelsea ,,Aerosol,"6,324",2017,20170204
M02166,the bronx,faith47,Aerosol,"3,879",2019,20190408
M04442,Lower East Side,COST,Aerosol,"3,017",2009,20090918
M01100, Bushwick ,kaws,Spray Paint,"4,291",2017,20171104
M00317,Bronx,os gemeos,acrylic,"3,629",2017,20171127
M00239,soho,Faith47,spray paint,"2,616",2012,20120920
M01481,soho,cost,spraypaint,"1,876",2017,20170819
M00849,Williamsburg,kaws,Mosaic,"2,021",2017,20170126
M03680,Long Island City,,acrylic,"5,996",2012,20120101
M03842,Harlem,jane q. public,Aerosol,"5,471",2006,20061002
M04515,BUSHWICK,jane q. public,spraypaint,"1,067",2017,20170506
M04464,astoria,lady pink,wheatpaste,"1,193",2016,20160628
M01880,SoHo,cost,wheatpaste,"4,104",,20130417
M04569,Lower East Side,faith47,spray paint,"6,778",2016,20160811
M01263,Long Island City,jane q. public,mosaic,242,2021,20210626
M02907,chelsea ,lady pink,Mosaic,"4,853",2019,20190902
M02759,chelsea , BANKSY ,spraypaint,"1,263",2009,20090120
M02612,astoria,Faith47,Aerosol,"7,906",2020,20201106
M03742,Chelsea,banksy,mosaic,607,2013,20130415
M02780,astoria,KAWS,Aerosol,"1,781",2021,20210316
M03448,Harlem,KAWS,spraypaint,"3,204",2012,20120502
M01138,Williamsburg,COST,acrylic,"6,864",2007,20070414
M04068,Lower East Side,Faith47,spray paint,"2,958",2008,20080406
M00611,astoria,lady pink,acrylic,"7,443",2009,20090617
M03835,Williamsburg,COST,Mosaic,"7,248",2005,20051212
M02795,Long Island City,futura,mosaic,"1,460",2021,20210806
M03542,Harlem,futura,spraypaint,527,2017,20171119
M03259,the bronx,futura,Wheatpaste,"4,879",2021,20210125
M02892,chelsea ,futura,Wheatpaste,"5,695",2019,20190103
M01786,williamsburg,Jane Q. Public,Aerosol,"2,700",2019,20191107
M00918,BUSHWICK,banksy,mosaic,"7,610",2006,20061020
M02377,lower east side, BANKSY ,aerosol,839,2022,20221211
M02763,Long Island City,jane q. public,Acrylic,"5,619",2009,20090712
M04435,LES,Os Gemeos,Aerosol,"6,452",2012,20120908
M00266,chelsea ,COST,wheatpaste,"1,482",2015,20151001
M01778,astoria,KAWS,wheatpaste,"1,965",2020,20201022
M04102,Harlem,cost,wheatpaste,"1,496",2014,20141210
M03339,LIC,KAWS,Wheatpaste,"7,903",2020,20201216
M02509,bushwick,kaws,wheatpaste,"4,595",2011,20110727
M03157,soho,jane q. public,Mosaic,"4,125",2019,20190625
M04576,LIC,kaws,wheatpaste,"1,581",2099,20181003
M01323,harlem,jane q. public,spraypaint,"1,719",2022,20221118
M02253,Long Island City,futura,Spray Paint,"5,218",2015,20150215
M02481,the bronx,jane q. public,Spray Paint,"4,990",2023,20230109
M01652,Williamsburg,faith47,spray paint,"2,383",2013,20130427
M01605, Bushwick ,Shepard Fairey,spray paint,"1,483",2021,20211121
M01295,Long Island City,futura,spray paint,722,2007,20070418
M02659,Williamsburg,faith47,Acrylic,"2,033",2005,20050317
M02687,Chelsea,KAWS,spray paint,"1,244",2010,20100225
M02747,chelsea ,futura,Aerosol,,2022,20221011
M01540,bushwick,futura,spray paint,"3,890",2021,20210624
M00478,chelsea ,lady pink,spraypaint,610,,20170103
M04138,Williamsburg,Banksy,wheatpaste,150,2018,20180828
M02386,Williamsburg,Futura,Aerosol,"4,702",2023,20231101
M01780,harlem,Os Gemeos,Spray Paint,228,2023,20230414
M01004,SoHo,Jane Q. Public,Mosaic,"3,326",,20120904
M01306,williamsburg,Os Gemeos,Aerosol,72,2020,20200718
M01231,Chelsea,faith47,Aerosol,"7,344",2006,20060821
M02797,chelsea ,Jane Q. Public,spray paint,"6,868",2020,20201227
M02376,Lower East Side,COST,Wheatpaste,"7,935",2013,20130406
M01374,Harlem,jane q. public,spraypaint,"3,300",2019,20190121
M04128,soho,COST,Aerosol,"3,919",2007,20070722
M04287,lower east side,kaws,aerosol,"4,623",,20160302
M00657,astoria,,Acrylic,"5,248",2009,20090418
M01414,Bronx,lady pink,Mosaic,"2,716",2011,20110620
M01409,chelsea ,cost,spraypaint,"1,568",2015,20150311
M02566,soho,COST,Mosaic,"1,423",2022,20221101
M04390,Chelsea,KAWS,Mosaic,"7,962",2015,20151003
M00486,SoHo,os gemeos,Acrylic,350,2016,20161203
M02877,bushwick,shepard fairey,aerosol,"3,915",2019,20190223
M02622,Williamsburg,lady pink,Wheatpaste,"2,882",2016,20160706
M00928,soho,,spray paint,"3,174",2006,20061114
M01438,chelsea ,shepard fairey,Acrylic,"2,213",2020,20200817
M01597,Bronx,COST,wheatpaste,"2,237",2015,20150414
M00719,SoHo,faith47,spraypaint,"1,714",2012,20120824
M00706, Bushwick ,COST,Spray Paint,"5,991",2011,20110904
M03901,bushwick,futura,spray paint,"2,330",2021,20210519
M02938,harlem,lady pink,mosaic,"6,762",2018,20181103
M00240,harlem,cost,Spray Paint,"3,249",2006,20060416
M04113,Bushwick,os gemeos,spraypaint,"6,260",2013,20130924
M04111,bushwick,os gemeos,Aerosol,"1,476",2010,20100715
M01169,bushwick,Lady Pink,Spray Paint,"6,064",2005,20050510
M00306,soho,banksy,Aerosol,"2,860",2008,20080303
M04793,Long Island City,Futura,spray paint,"2,349",2014,20141208
M02943,harlem,Os Gemeos,Wheatpaste,"6,164",2008,20080511
M02487,harlem,futura,spray paint,"2,727",2020,20200824
M04864,lower east side,Os Gemeos,acrylic,,2006,20060306
M02081,Bronx,shepard fairey,mosaic,"4,009",2007,20070716
M00497,BUSHWICK,Banksy,wheatpaste,891,2016,20160402
M02653,Bushwick,Os Gemeos,Mosaic,"5,389",2012,20121207
M04693,Williamsburg,lady pink,spraypaint,"5,745",2019,20191206
M03551,the bronx,COST,acrylic,"2,082",2012,20120314
M01977,the bronx,cost,aerosol,999999,2018,20180108
M03164,LES,Os Gemeos,spraypaint,"6,573",2016,20160825
M04334,bushwick,kaws,Spray Paint,"7,829",2011,20110922
M00913,Harlem,shepard fairey,acrylic,"3,382",2007,20071221
M02479,astoria, BANKSY ,aerosol,"2,166",2009,20090707
M00977,Williamsburg,shepard fairey,acrylic,"7,164",2006,20061126
M04724,Chelsea, BANKSY ,wheatpaste,"7,236",2005,20051018
M03156,Astoria,kaws,aerosol,"3,900",2022,20220202
M03216,lower east side,Banksy,spraypaint,"6,235",2011,20110823
M02692,soho,Jane Q. Public,acrylic,"5,826",2021,20211005
M02511,Long Island City,Jane Q. Public,Spray Paint,"3,859",2012,20120611
M03633,BUSHWICK,banksy,Aerosol,"5,277",2020,20201206
M02800,Lower East Side,cost,Aerosol,"1,271",2020,20200620
M01867,astoria,Lady Pink,Aerosol,910,2016,20161113
M00461,Bronx,faith47,mosaic,"2,836",2023,20230307
M03962,Astoria,COST,mosaic,"5,512",2008,20080125
M02695,williamsburg,Lady Pink,Mosaic,"7,572",2011,20110302
M04509,Lower East Side,Jane Q. Public,aerosol,"2,846",2017,20170710
M00425,LIC,Os Gemeos,aerosol,"3,165",2006,20060714
M03138,Bronx,Jane Q. Public,aerosol,"6,100",2013,20130823
M01353,chelsea ,shepard fairey,Aerosol,"7,027",2011,20110607
M00541,Lower East Side,lady pink,acrylic,224,2019,20190913
M01798,Williamsburg,cost,Acrylic,"2,605",2011,20110724
M04749, Bushwick ,os gemeos,mosaic,725,2015,20151103
M00488,Long Island City,Lady Pink,spray paint,"3,883",2015,20150510
M01548,williamsburg,cost,aerosol,330,2006,20061120
M02510,SoHo,banksy,Aerosol,"5,847",2017,20170403
M02041,harlem,Shepard Fairey,aerosol,"3,981",2022,20220110
M01971,astoria,cost,spray paint,"2,754",2007,20070605
M04518,Astoria,Lady Pink,Wheatpaste,"6,074",2022,20220801
M01557, Bushwick , BANKSY ,mosaic,"7,413",2006,20061202
M01106,Lower East Side,,spraypaint,"2,208",2020,20200625
M00878,bushwick,COST,Spray Paint,"1,777",2021,20210809
M04225,Bushwick,jane q. public,acrylic,"2,780",2008,20080812
M00553,Bronx,os gemeos,spray paint,"5,877",2008,20080227
M01475,williamsburg,KAWS,spraypaint,290,2007,20070510
M02274,Harlem,,Acrylic,"6,917",2017,20170226
M00664,harlem,Faith47,aerosol,"6,127",2013,20130403
M02186,BUSHWICK,KAWS,acrylic,"4,875",2016,20160218
M01114,Chelsea,KAWS,acrylic,"6,893",2019,20190301
M01986,Chelsea,kaws,wheatpaste,"6,030",2013,20130515
M00857,Bushwick,lady pink,wheatpaste,"2,880",1776,20180504
M04375,chelsea ,Futura,Wheatpaste,"2,803",2023,20230702
M00698,Lower East Side,Shepard Fairey,Spray Paint,"3,242",2011,20110707
M01632,Bushwick,Faith47,acrylic,,2017,20171115
M02885,BUSHWICK,Futura,Wheatpaste,"2,883",2023,20230907
M03064,Lower East Side,shepard fairey,aerosol,101,2019,20190813
M02168,Bronx,lady pink,Spray Paint,"5,230",2014,20140301
M04781,williamsburg,futura,Acrylic,"5,239",2018,20181103
M01370,Long Island City,KAWS,Wheatpaste,"7,761",2023,20231110
M00659, Bushwick , BANKSY ,Mosaic,"6,926",2006,20060210
M01979,SoHo,kaws,Acrylic,"4,322",2023,20230824
M02827,bushwick,kaws,aerosol,"4,276",2006,20061202
M00754,williamsburg,Jane Q. Public,Wheatpaste,999999,2023,20230313
M03923,Bronx,COST,mosaic,266,2011,20110701
M00437,lower east side,os gemeos,Spray Paint,"6,715",2022,20220613
M00131,Bronx,,Mosaic,"2,994",2021,20210918
M01878,Bushwick,KAWS,acrylic,"2,312",2007,20070217
M04349,Bushwick,,spray paint,"4,699",2014,20141026
M03564,SoHo,faith47,spray paint,"4,054",2010,20100728
M00503,harlem,,Acrylic,999999,2020,20201225
M01683,the bronx,futura,wheatpaste,"3,898",2019,20191020
M00100,Bronx,os gemeos,Wheatpaste,"3,755",2008,20080512
M03282,the bronx,kaws,Mosaic,"5,992",2006,20060806
M02459,Chelsea,shepard fairey,acrylic,"3,240",2017,20170214
M02288,bushwick, BANKSY ,acrylic,899,2009,20091114
M01669,lower east side,COST,wheatpaste,"4,948",2015,20150301
