m_id,insp_dt,cond,rtg,graf,fade
M02283,2019-06-23, excellent,2,n,25
M00533,2021-04-27,Poor ,5,YES,32
M01617,2021-07-02,good,3,YES,11
M02924,2023-04-17,poor,5,yes,70
M02248,2024-06-21,fair,1,No,21
M04862,2020-09-17,fair,2,YES,36
M04614,2024-01-19, excellent,2,NO,64
M01394,2020-10-26,good,3,NO,25
M02943,2022-06-06,,2,y,93
M02840,2023-09-08,Excellent,3,yes,17
M04666,2022-09-07,good,5,n,19
M03314,2019-11-08, excellent,2,Yes,32
M01580,2023-01-23,Excellent,,Yes,8
M01714,2023-12-17,good,4,No,99
M02442,2024-03-02,Fair,2,YES,17
M00511,2024-11-06,poor,4,no,23
M03589,2024-03-06,fair,1,y,43
M01716,2019-10-07,GOOD,1,no,86
M02031,2021-02-01,good,5,Yes,92
M03425,2019-08-05,GOOD,2,n,4
M00476,2020-06-18,,2,yes,13
M01024,2022-10-10,Good,4,y,47
M00688,2022-05-03,good,2,yes,31
M00592,2021-10-26,Good,,YES,74
M02903,2021-06-04,GOOD,3,YES,
M01844,2020-02-17,GOOD,3,no,4
M03880,2019-02-19, excellent,3,NO,31
M00836,2021-02-13,Poor ,1,y,50
M00202,2022-10-23,good,1,YES,47
M01466,2024-04-24,fair,3,NO,26
M00505,2024-11-21, excellent,2,no,73
M04431,2023-06-22,Fair,1,n,61
M04383,2021-04-24,Fair,5,No,32
M03704,2021-09-02,Excellent,1,No,22
M04726,2019-01-19,Good,1,Yes,87
M01474,2022-06-11,Excellent,5,YES,0
M01801,2020-10-16,Good,2,Yes,41
M02540,2023-11-01,GOOD,5,Yes,70
M02922,2020-06-19,Good,2,yes,94
M00378,2022-11-07,poor,3,No,80
M01802,2024-08-27,Good,1,YES,82
M01516,2022-03-02,Poor ,4,Yes,96
M02063,2021-05-10,fair,5,NO,85
M00273,2020-06-25,fair,4,n,25
M01585,2022-07-23,Fair,4,YES,87
M04308,2019-04-26,,2,n,84
M00996,2020-09-01,Fair,2,y,94
M01582,2024-07-15,GOOD,3,n,4
M04133,2020-12-14,,5,y,90
M00873,2020-04-09,fair,1,YES,44
M00373,2019-12-26,GOOD,5,Yes,79
M00139,2020-04-14, excellent,2,no,17
M01402,2023-01-27,Fair,3,yes,
M02314,2024-10-18,Fair,3,YES,68
M00770,2022-07-06,Fair,4,Yes,70
M03323,2023-08-07,poor,4,Yes,66
M01449,2021-06-28,Good,,yes,
M01114,2019-02-17,fair,5,No,88
M02951,2020-02-24,Poor ,3,No,76
M02250,2019-12-04,GOOD,3,y,57
M03815,2019-12-21,Poor ,1,no,35
M02131,2021-06-05,Fair,3,YES,34
M03838,2019-08-20,Excellent,,YES,51
M04635,2021-08-18,Poor ,3,No,99
M02319,2023-07-19,good,2,NO,12
M00275,2020-09-01,Fair,4,y,34
M02053,2021-12-25,Good,4,NO,64
M01898,2021-11-14,Poor ,4,NO,5
M01569,2024-11-07,GOOD,2,y,12
M01533,2024-08-21,Excellent,5,NO,71
M00049,2019-09-24,Good,3,No,2
M04567,2022-12-25,Fair,4,n,17
M09721,2022-04-06,Poor ,2,yes,52
M01606,2024-10-15,good,4,Yes,6
M03567,2023-09-06,Poor ,3,yes,81
M01037,2024-01-21, excellent,5,yes,27
M00095,2019-04-07,good,4,Yes,76
M02375,2023-08-12,good,5,n,76
M04254,2022-10-03, excellent,3,YES,44
M00329,2021-04-08,good,1,yes,40
M03860,2020-04-26,Fair,4,no,68
M04510,2021-08-05,GOOD,2,YES,19
M01704,2022-10-25,Excellent,5,No,85
M03993,2019-06-21,Poor ,1,yes,82
M02103,2023-11-10,Good,2,No,93
M00261,2019-11-21, excellent,1,yes,30
M02174,2020-08-09,Excellent,4,YES,64
M00501,2020-05-01,poor,1,y,64
M04423,2019-04-01,Fair,5,No,94
M03289,2024-10-06,Fair,3,NO,39
M04853,2021-10-02,fair,3,YES,60
M04132,2021-12-21,good,3,y,50
M04078,2023-11-13,fair,2,no,76
M09375,2023-09-25,good,2,YES,36
M03341,2024-08-26,GOOD,1,YES,-10
M04467,2022-04-27,GOOD,5,Yes,93
M02358,2023-12-15,poor,4,NO,55
M03281,2023-07-24,fair,2,No,56
M01510,2019-10-03,poor,5,Yes,73
M01935,2024-05-28,Excellent,5,YES,35
M00410,2024-12-21,Good,5,Yes,70
M03143,2019-02-21,GOOD,2,NO,11
M02399,2021-04-27,good,4,y,0
M00647,2020-11-28,Poor ,3,no,6
M01688,2024-04-17,GOOD,2,y,62
M02045,2021-01-26,Fair,4,No,100
M00074,2023-08-13, excellent,3,No,12
M00016,2019-02-19, excellent,2,Yes,89
M02469,2021-11-02,Poor ,4,Yes,24
M03366,2022-11-03,GOOD,5,yes,45
M04462,2021-01-25,good,4,yes,14
M00495,2019-09-04,Good,1,Yes,33
M00106,2023-07-09,Excellent,3,NO,15
M04863,2019-01-05,poor,3,n,100
M01574,2022-04-10,Excellent,3,n,42
M02079,2019-05-01,,4,y,58
M01799,2022-10-27,Fair,2,NO,42
M03233,2019-09-19,Fair,2,YES,68
M04232,2024-02-24,Excellent,4,yes,83
M01518,2019-12-16,Poor ,2,y,22
M04657,2024-12-10, excellent,,NO,76
M02987,2023-06-09,good,4,no,71
M02360,2024-04-24,Good,3,y,4
M09793,2019-02-18,fair,4,n,35
M04456,2019-10-21,Fair,,Yes,76
M01476,2023-01-20,Poor ,3,yes,95
M04197,2023-07-04, excellent,4,No,78
M04446,2023-09-20,good,5,No,20
M00436,2021-01-07,poor,3,yes,82
M01248,2023-07-01,Fair,3,No,1
M03344,2023-08-23,good,1,yes,64
M04469,2020-12-25,GOOD,2,NO,38
M03296,2022-09-17,Poor ,5,YES,61
M03654,2021-04-12,Poor ,2,yes,4
M01601,2020-05-23,Good,4,no,38
M00371,2022-06-01,good,4,yes,53
M02325,2020-05-23,good,2,No,5
M01153,2021-08-12, excellent,3,Yes,72
M01075,2021-09-12,good,,y,31
M02416,2022-11-23,fair,4,n,32
M03923,2024-03-05,poor,5,Yes,19
M02695,2023-08-11,Excellent,,no,69
M00642,2019-09-01,good,4,y,21
M02824,2020-10-02,fair,5,NO,79
M01266,2023-12-22,Good,4,no,59
M03528,2019-08-12,fair,5,y,26
M00221,2022-05-21,Excellent,5,YES,67
M01758,2021-03-05,poor,3,n,9
M03465,2020-11-20,Poor ,1,n,76
M02996,2022-05-16,Good,4,No,50
M02746,2021-02-18,Good,4,Yes,57
M01472,2024-04-20, excellent,1,n,79
M00719,2020-04-16,Poor ,4,no,54
M03267,2021-10-25,good,3,YES,66
M03302,2021-01-23,Poor ,2,y,16
M00048,2020-06-12,GOOD,2,No,90
M03153,2023-03-01,Excellent,1,yes,42
M03095,2019-02-02,GOOD,3,Yes,79
M04876,2020-06-12,,4,no,18
M04532,2024-06-05,Good,2,Yes,41
M03352,2019-12-11,Excellent,4,n,66
M00744,2020-04-27,Excellent,3,no,9
M04521,2021-06-10,Excellent,1,YES,96
M01964,2024-01-19,Good,3,y,62
M01244,2023-02-25,Fair,4,YES,94
M02745,2023-08-28,Good,5,y,38
M00519,2019-08-06,Poor ,3,Yes,41
M00665,2022-05-09,Fair,2,yes,7
M00350,2022-08-27,fair,2,Yes,2
M04042,2020-10-28, excellent,2,yes,4
M01998,2023-11-03,Good,5,NO,2
M00504,2020-08-16,Good,2,yes,82
M04652,2022-02-23,Excellent,2,y,55
M02410,2019-07-05,Good,2,no,52
M01544,2021-10-20,GOOD,4,No,61
M01843,2021-12-25,Good,3,yes,79
M03121,2022-01-26,good,3,Yes,49
M04449,2023-09-11,fair,4,no,99
M02453,2019-12-14, excellent,3,no,99
M01554,2023-09-02,Poor ,2,n,100
M01222,2020-01-21, excellent,5,n,15
M01735,2021-06-02,fair,,NO,37
M03752,2019-02-17,Excellent,1,No,64
M03321,2019-01-28,GOOD,5,n,21
M00173,2020-08-14, excellent,2,Yes,22
M03063,2022-10-04,Poor ,2,n,44
M03155,2021-01-20,fair,2,NO,83
M00432,2019-11-23,Fair,,Yes,68
M03072,2024-08-09,fair,1,Yes,25
M03883,2022-01-12,fair,,YES,40
M02699,2019-07-27,Fair,2,no,71
M00702,2019-03-12,Fair,5,n,82
M03769,2019-04-06,GOOD,1,yes,
M01632,2020-08-23,Poor ,2,no,13
M01655,2023-08-17,poor,2,YES,39
M04579,2023-10-22,Excellent,5,YES,22
M04808,2023-12-10,Excellent,3,No,15
M00856,2021-02-04,good,5,NO,39
M01348,2024-09-26,Fair,4,no,75
M02504,2021-09-19,fair,1,yes,150
M01291,2019-07-27,Good,2,y,88
M03410,2021-11-26,good,4,Yes,19
M01210,2019-08-01,fair,1,no,64
M00160,2021-12-16,poor,1,yes,34
M01382,2023-08-23,fair,2,YES,29
M01830,2024-09-24,Good,5,Yes,36
M01870,2023-05-04, excellent,1,yes,-10
M02386,2023-06-18,GOOD,2,yes,82
M02292,2020-11-07,fair,2,YES,49
M02916,2022-07-17,Fair,2,Yes,85
M02733,2019-03-21,GOOD,3,YES,67
M02384,2021-06-06,GOOD,4,no,96
M02516,2024-11-07,poor,5,YES,34
M04094,2023-10-11,fair,5,Yes,39
M00669,2024-09-23,Good,2,YES,4
M01593,2021-07-13,Good,2,no,9
M00228,2023-02-23,Good,4,yes,96
M00033,2020-01-05,poor,5,No,88
M01784,2019-05-08,good,3,n,48
M02944,2024-07-25,good,5,Yes,
M02218,2020-09-26,Poor ,1,y,41
M03663,2021-07-11, excellent,4,Yes,76
M01360,2020-03-26,Excellent,2,no,
M03218,2021-05-12,Poor ,5,NO,79
M01590,2020-08-04,Fair,5,YES,18
M02327,2023-09-24,good,,NO,91
M02311,2022-04-16,Excellent,1,y,66
M00916,2022-06-24, excellent,3,no,53
M02461,2021-06-01,Fair,3,yes,34
M02197,2024-09-03,Fair,5,NO,8
M04180,2019-02-23,Poor ,2,NO,69
M00543,2022-09-04, excellent,4,n,54
M03635,2022-02-17, excellent,2,yes,7
M02272,2022-11-03,poor,5,y,25
M02718,2020-10-16,Good,4,n,57
M04134,2020-08-03,fair,3,y,16
M02093,2020-09-02,good,4,No,63
M02959,2022-02-08,,4,y,150
M00232,2022-07-15,Good,1,No,42
M03548,2023-11-16,poor,4,YES,81
M03571,2021-08-15,Excellent,2,n,16
M00952,2020-07-05,GOOD,1,no,61
M04211,2020-09-22,Fair,3,y,69
M02717,2022-10-08,Fair,3,y,150
M04788,2024-08-18,Poor ,2,no,67
M01052,2020-11-25,,3,y,10
M00552,2022-12-10,GOOD,,n,20
M03685,2023-12-20,poor,2,NO,85
M04066,2021-05-11,GOOD,5,Yes,35
M00486,2020-07-04,Fair,4,NO,58
M02159,2024-04-18,GOOD,,NO,41
M03191,2024-08-21,good,2,yes,6
M04535,2020-06-26,poor,3,NO,45
M01146,2022-06-21, excellent,5,y,16
M02128,2020-12-14, excellent,4,n,86
M03963,2023-08-25,GOOD,5,NO,82
M03841,2020-04-16, excellent,3,yes,32
M03927,2021-01-12,GOOD,3,yes,94
M03643,2022-06-13,poor,4,NO,68
M00138,2019-04-08,Fair,3,No,61
M02355,2021-08-24,Good,3,no,84
M04770,2021-10-16,good,3,yes,74
M03892,2024-04-06,good,1,No,99
M04615,2021-10-07,Fair,3,y,10
M04057,2023-09-13,Good,1,YES,-10
M03730,2024-01-12,Fair,2,n,36
M09263,2023-12-02,good,2,YES,85
M00249,2023-03-15,Good,4,No,24
M04640,2023-12-08,Excellent,2,Yes,68
M02651,2023-08-26,Fair,4,no,72
M02532,2020-09-11,Excellent,3,no,13
M01097,2023-05-11,Poor ,5,no,55
M00482,2019-03-26,Good,1,NO,36
M04015,2024-06-24,fair,5,NO,64
M02120,2023-01-15,Excellent,2,no,150
M02891,2021-05-08,Excellent,1,NO,98
M02027,2023-10-14,good,2,No,44
M02251,2019-09-20,GOOD,1,yes,56
M01506,2021-01-04,Fair,3,no,80
M04817,2019-01-27,Fair,3,NO,76
M03869,2024-02-08,Good,5,NO,57
M03078,2024-12-16,good,4,y,18
M00707,2020-07-21,GOOD,2,NO,57
M00752,2020-01-16,fair,5,yes,9
M02459,2024-09-07,Fair,5,NO,17
M01316,2024-10-06,Fair,2,yes,37
M01041,2024-03-23, excellent,1,no,80
M09770,2023-09-13,Excellent,2,y,55
M02255,2020-07-14,Good,5,y,-10
M04472,2022-04-28,poor,3,No,80
M01091,2023-08-11,fair,3,y,56
M02682,2021-09-07,GOOD,2,y,24
M04754,2020-07-05,good,4,NO,13
M01584,2020-04-11,GOOD,1,yes,39
M03606,2022-02-13, excellent,2,n,29
M02295,2020-11-15,Fair,2,no,72
M01243,2020-04-23,Poor ,3,NO,2
M02952,2023-02-06,poor,3,y,44
M00729,2019-03-10,Excellent,3,Yes,43
M04774,2022-11-02,fair,5,No,22
M03583,2019-09-14,Excellent,4,no,56
M03485,2019-07-10,fair,4,Yes,100
M03638,2022-04-15,Good,1,n,24
M00829,2023-07-06,fair,,y,11
M00883,2022-01-25,Poor ,3,Yes,81
M00966,2019-05-04,good,3,y,
M03013,2022-06-22,Excellent,,Yes,100
M02112,2020-09-27,poor,5,no,16
M01861,2024-05-20,fair,5,yes,94
M02645,2020-03-18, excellent,4,Yes,13
M00180,2019-07-10,good,4,yes,43
M02331,2024-03-09,fair,5,y,38
M01308,2022-12-06,Poor ,5,YES,-10
M04317,2020-10-11,Good,1,YES,85
M04698,2023-06-12,fair,2,n,19
M00723,2023-03-25,Excellent,4,NO,50
M04504,2021-04-21,Fair,,n,83
M02296,2020-10-21,Good,5,n,43
M01753,2019-07-11,good,5,yes,26
M00694,2020-04-04, excellent,5,Yes,31
M04530,2021-03-06,good,,n,
M04301,2023-08-25,Poor ,3,YES,88
M03997,2022-12-09,Good,1,No,79
M00995,2023-01-27,fair,4,n,61
M00783,2024-10-27,GOOD,2,No,23
M03518,2022-11-14,GOOD,1,no,15
M00172,2023-11-16, excellent,3,no,58
M04881,2022-11-04,poor,4,y,94
M02558,2020-05-03, excellent,5,NO,5
M03067,2024-11-14,,4,y,71
M00241,2022-04-11,good,1,NO,59
M03476,2020-10-07,Good,5,y,83
M00556,2021-08-12,fair,5,no,24
M04126,2019-05-02,Poor ,1,Yes,8
M00516,2022-07-12,good,5,yes,58
M03099,2019-12-18,good,2,No,72
M02203,2021-12-07,good,3,no,92
M03362,2022-07-13,Poor ,4,yes,46
M00931,2021-12-06,Good,1,y,74
M00084,2023-02-10, excellent,5,Yes,47
M01236,2024-10-17,Good,5,No,
M00933,2024-08-27,Good,5,YES,37
M04342,2023-01-19,good,1,no,66
M00547,2023-09-09,,1,n,73
M02352,2024-07-21,Excellent,3,y,54
M00705,2019-03-01,Good,2,YES,96
M03158,2021-01-21,Excellent,1,yes,65
M02509,2021-11-05,GOOD,5,no,99
M00785,2024-11-13,Excellent,1,no,46
M00047,2022-07-05,Good,2,y,43
M03024,2020-07-11,Fair,3,Yes,78
M00193,2023-01-04,poor,3,y,21
M00154,2024-07-11,good,2,y,64
M00645,2024-03-13,Excellent,1,YES,12
M00118,2022-05-13,fair,1,YES,43
M03056,2021-07-09,Excellent,4,Yes,7
M00167,2019-06-05,fair,3,No,97
M00320,2020-12-28,Fair,1,Yes,35
M02801,2020-05-19,Poor ,1,no,49
M00385,2020-07-21,Good,4,no,8
M03874,2022-01-05,good,4,No,50
M01125,2021-02-08,Fair,5,YES,76
M02622,2019-02-14,Fair,4,no,7
M04779,2020-11-11,Excellent,4,Yes,35
M01849,2020-05-26,Poor ,2,NO,89
M01547,2024-11-20,good,5,no,31
M04674,2019-09-11, excellent,3,y,16
M02842,2021-02-17,fair,4,y,43
M02145,2020-11-21,Excellent,1,y,20
M00866,2024-10-13, excellent,2,NO,49
M04157,2021-11-21,Fair,3,Yes,18
M03585,2024-01-09,Excellent,5,YES,2
M04389,2021-01-08,Excellent,5,yes,56
M01779,2024-04-23,Poor ,2,no,29
M01032,2022-04-03,Fair,2,no,49
M03627,2024-10-14, excellent,3,NO,74
M03797,2024-01-23,Good,2,YES,36
M00909,2020-10-27, excellent,2,yes,20
M01498,2020-09-22,poor,2,Yes,35
M02512,2022-06-13,Good,5,n,23
M00149,2019-07-07,Excellent,4,No,6
M00743,2023-05-25,GOOD,4,no,53
M03503,2023-12-22,Excellent,2,No,21
M01299,2024-10-08,fair,5,No,36
M03823,2019-06-23, excellent,2,yes,68
M02542,2023-01-18, excellent,3,n,80
M01410,2022-09-13,GOOD,2,yes,5
M01467,2020-10-23,Fair,2,NO,2
M00792,2021-10-15,good,2,no,53
M00475,2021-05-20,Fair,3,y,61
M00787,2019-08-21,GOOD,5,YES,70
M01563,2020-02-14, excellent,2,YES,57
M04843,2020-03-18,GOOD,4,No,52
M00775,2021-10-02,fair,4,NO,97
M02317,2021-07-22,Poor ,1,Yes,97
M04021,2024-04-19,Good,4,n,
M02247,2019-04-13,good,3,NO,47
M03868,2019-02-13,GOOD,4,No,86
M02387,2024-02-27,GOOD,5,no,39
M04363,2021-01-15,poor,4,y,80
M02458,2021-04-09,Poor ,5,Yes,46
M03504,2019-06-03,poor,5,YES,11
M02514,2022-08-26,Good,5,no,52
M03540,2021-05-18,fair,5,yes,2
M02238,2022-02-27,Poor ,5,n,58
M03122,2022-08-12,Excellent,3,No,35
M02549,2023-05-05,Good,3,YES,28
M03435,2021-01-17,GOOD,4,yes,75
M09361,2021-06-02,Fair,2,y,79
M02429,2020-06-11,fair,2,NO,63
M04249,2020-03-03,Poor ,4,y,87
M04214,2024-06-17,fair,3,No,78
M04328,2024-08-08, excellent,4,n,12
M04239,2023-02-03,good,2,Yes,68
M01800,2019-06-19,Fair,3,yes,50
M01837,2019-04-08, excellent,3,no,21
M03556,2024-06-22,Fair,1,Yes,62
M04212,2024-08-17,Fair,2,n,49
M00376,2022-08-05, excellent,1,y,75
M09691,2019-07-08,poor,3,yes,75
M00194,2023-09-20,fair,5,NO,62
M02626,2023-02-19,Good,5,no,60
M01194,2024-10-09,Good,0,n,11
M01745,2020-02-06, excellent,3,YES,1
M02627,2019-04-08,Poor ,3,NO,8
M01627,2022-09-01,Poor ,4,No,68
M00450,2023-07-28,Fair,4,yes,89
M02912,2019-08-21,Good,1,yes,94
M02151,2021-12-05, excellent,5,NO,13
M01702,2020-08-23,Excellent,2,y,26
M02584,2019-06-24,fair,2,y,53
M01006,2020-11-14,Fair,3,yes,8
M04888,2019-09-14,good,4,no,34
M01671,2022-06-23,poor,2,yes,84
M02356,2021-09-22,good,3,no,11
M00105,2023-09-08,poor,4,YES,6
M04511,2019-12-08,fair,1,YES,25
M00559,2023-11-13,Good,5,no,29
M01528,2021-03-14,Fair,1,no,
M00235,2022-02-16,poor,1,Yes,90
M00262,2020-06-09,Fair,1,yes,2
M09906,2019-07-22,,5,NO,1
M04672,2023-06-18,Fair,1,no,10
M00889,2021-02-11, excellent,2,no,95
M00769,2022-03-15,Good,4,Yes,1
M04327,2022-07-16,Poor ,1,YES,36
M03304,2023-05-11,poor,3,y,17
M04587,2023-10-10,,1,Yes,76
M02146,2019-04-12,Excellent,1,yes,94
M04160,2023-09-01,Poor ,5,No,10
M00617,2024-01-09,Fair,,no,74
M04703,2020-05-10,Fair,2,yes,77
M01963,2022-12-22,fair,1,No,73
M03380,2024-09-06,fair,5,y,98
M02897,2022-06-10,poor,5,yes,20
M02207,2022-03-14,poor,3,n,84
M02683,2022-03-16,poor,4,no,36
M02788,2021-12-19,Excellent,0,y,16
M01192,2021-08-28,Excellent,4,NO,82
M03031,2024-01-17,poor,5,y,57
M02899,2021-09-04,good,1,YES,58
M01994,2024-04-22,fair,4,no,13
M04838,2021-07-26,Poor ,,y,2
M04429,2023-06-22,GOOD,3,n,89
M04669,2019-07-19,Fair,4,no,68
M04617,2020-10-24, excellent,1,yes,41
M02069,2020-11-11,poor,2,Yes,16
M03667,2023-11-05,GOOD,1,Yes,81
M01509,2023-06-27,GOOD,3,yes,39
M02993,2023-04-04,fair,3,no,48
M01403,2023-01-21,Good,1,YES,85
M02592,2022-01-20,good,1,Yes,59
M01572,2021-01-18,Poor ,3,no,80
M00247,2024-04-04,Poor ,4,yes,39
M03075,2023-02-09,good,2,no,89
M01953,2019-04-23,Fair,4,yes,28
M01254,2024-11-17,Good,1,NO,14
M04549,2022-01-06,Good,3,NO,40
M01546,2022-11-24,Fair,,yes,99
M04475,2020-07-03,Fair,4,n,70
M09358,2022-05-19,GOOD,3,No,62
M00496,2023-06-07, excellent,2,n,92
M01086,2020-08-12,fair,2,YES,64
M04711,2020-12-25,poor,2,no,94
M04417,2023-01-03,fair,4,Yes,33
M03261,2019-03-09,poor,4,no,76
M04252,2023-10-08,Excellent,1,yes,
M02864,2024-12-20, excellent,2,yes,52
M03781,2021-03-19,Good,5,no,18
M03617,2020-01-11,Good,4,YES,64
M00922,2020-01-12,fair,5,y,11
M03258,2023-01-17,Excellent,5,Yes,76
M04361,2020-08-25,Excellent,,YES,23
M04550,2024-05-28,GOOD,1,n,67
M09239,2021-03-22,good,2,NO,38
M03195,2023-10-27,Good,3,Yes,25
M09159,2021-05-01,Fair,5,No,37
M03479,2021-05-06,fair,3,y,20
M00649,2021-03-02,good,1,y,44
M02275,2023-08-15,Poor ,2,y,56
M00755,2023-10-11,Poor ,3,yes,47
M01447,2019-07-11, excellent,4,y,60
